Name,Type,Start_Col,End_Col,Col_Width
COLL_ID,Numeric,1,3,3
SERIAL,Numeric,4,6,3
STUDY_ID,Numeric,7,12,6
A1,Numeric,13,14,2
A2,Numeric,15,15,1
A3,Numeric,16,16,1
A4,Numeric,17,17,1
A4A,Numeric,18,18,1
A5,Numeric,19,19,1
A6,Numeric,20,20,1
A6A,Numeric,21,21,1
A7A,Numeric,22,22,1
A7B,Numeric,23,23,1
A7C,Numeric,24,24,1
A7D,Numeric,25,25,1
A8A,Numeric,26,26,1
A8B,Numeric,27,27,1
A8C,Numeric,28,28,1
A8D,Numeric,29,29,1
A8E,Numeric,30,30,1
A8F,Numeric,31,31,1
A8G,Numeric,32,32,1
A8H,Numeric,33,33,1
A8I,Numeric,34,34,1
B1,Numeric,35,35,1
B2,Numeric,36,36,1
B3,Numeric,37,37,1
B4,Numeric,38,38,1
B5,Numeric,39,39,1
B6A,Numeric,40,40,1
B6B,Numeric,41,41,1
B6C,Numeric,42,42,1
B6D,Numeric,43,43,1
B6E,Numeric,44,44,1
B6F,Numeric,45,45,1
B6G,Numeric,46,46,1
B7A,Numeric,47,47,1
B7B,Numeric,48,48,1
B7C,Numeric,49,49,1
B7D,Numeric,50,50,1
B7E,Numeric,51,51,1
B8,Numeric,52,52,1
B9,Numeric,53,53,1
B10,Numeric,54,54,1
B11,Numeric,55,55,1
B12,Numeric,56,56,1
B13,Numeric,57,57,1
B14,Numeric,58,58,1
B15A,Numeric,59,59,1
B15B,Numeric,60,60,1
B15C,Numeric,61,61,1
B15D,Numeric,62,62,1
B15E,Numeric,63,63,1
B15F,Numeric,64,64,1
B15G,Numeric,65,65,1
B16A,Numeric,66,66,1
B16B,Numeric,67,67,1
B16C,Numeric,68,68,1
B16D,Numeric,69,69,1
B16E,Numeric,70,70,1
B16F,Numeric,71,71,1
B16G,Numeric,72,72,1
B16H,Numeric,73,73,1
B16I,Numeric,74,74,1
B16J,Numeric,75,75,1
B17A,Numeric,76,76,1
B17B,Numeric,77,77,1
B18A,Numeric,78,78,1
B18B,Numeric,79,79,1
B18C,Numeric,80,80,1
B18D,Numeric,81,81,1
B18E,Numeric,82,82,1
B19,Numeric,83,83,1
B20A,Numeric,84,84,1
B20B,Numeric,85,85,1
B20C,Numeric,86,86,1
B20D,Numeric,87,87,1
B21A,Numeric,88,88,1
B21B,Numeric,89,89,1
B21C,Numeric,90,90,1
B21D,Numeric,91,91,1
B21E,Numeric,92,92,1
B21F,Numeric,93,93,1
B21G,Numeric,94,94,1
B21H,Numeric,95,95,1
B21I,Numeric,96,96,1
B22,Numeric,97,97,1
B23A,Numeric,98,98,1
B23B,Numeric,99,99,1
B23C,Numeric,100,100,1
B23D,Numeric,101,101,1
B23E,Numeric,102,102,1
B23F,Numeric,103,103,1
B23G,Numeric,104,104,1
B23H,Numeric,105,105,1
C1,Numeric,106,106,1
C2,Numeric,107,107,1
C3,Numeric,108,108,1
C4,Numeric,109,109,1
C5,Numeric,110,110,1
C6,Numeric,111,111,1
C6_FEE,Numeric,112,116,5
C7,Numeric,117,117,1
C8,Numeric,118,118,1
C9,Numeric,119,120,2
C10,Numeric,121,121,1
C11,Numeric,122,122,1
C12,Numeric,123,123,1
C13,Numeric,124,124,1
C14A,Numeric,125,125,1
C14B,Numeric,126,126,1
C14C,Numeric,127,127,1
C14D,Numeric,128,128,1
C14E,Numeric,129,129,1
C14F,Numeric,130,130,1
C14G,Numeric,131,131,1
C14H,Numeric,132,132,1
C15A,Numeric,133,133,1
C15B,Numeric,134,134,1
C15C,Numeric,135,135,1
C15D,Numeric,136,136,1
C15E,Numeric,137,137,1
